title,description,publishedAt,source,url,lat,lon
"Indian man beheaded in front of son and wife in Texas shows disturbing viral video. Here's all about victim Chandra Nagamallaiah, killer, gruesome attack","Indian man beheaded in front of son and wife in Texas shows disturbing viral video after an argument over a washing machine. The accused, a Cuban national with a criminal past, was arrested.",2025-09-12T11:52:26Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/indian-man-beheaded-in-front-of-son-and-wife-in-texas-shows-disturbing-viral-video-argument-over-washing-machine-led-to-attack-chandra-nagamallaiah-motel-manager-downtown-suites-motel-in-dallas-accused-cuban-national-yordanis-cobos-martinez-indian-governments-response/articleshow/123851634.cms,,
Indian NGO urges UNHRC to hold sponsors of Pahalgam terror attack accountable,"Sambhali Trust, an Indian NGO, has appealed to the UN Human Rights Council to ensure accountability for the April 22 terror attack in Pahalgam, where 26 civilians were killed. The trust's representative, Hansraj Singh, stated that the attack was perpetrated b…",2025-09-19T12:51:41Z,The Times of India,https://economictimes.indiatimes.com/news/india/indian-ngo-urges-unhrc-to-hold-sponsors-of-pahalgam-terror-attack-accountable/articleshow/123999461.cms,,
Boko Haram militants kill 60 in attack in Nigeria's northeast,"Boko Haram militants have killed at least 60 people in a nighttime attack on Darul Jamal village in northeastern Nigeria, targeting residents recently returned from an IDP camp. Borno State Governor Babagana Zulum confirmed the deaths and urged residents not …",2025-09-07T19:01:27Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/boko-haram-militants-kill-60-in-attack-in-nigerias-northeast/articleshow/123751943.cms,,
Israeli attack grave escalation: Qatari PM,"Qatar's Prime Minister condemned the Israeli attack on Doha as ""state terrorism"" and a violation of sovereignty, threatening regional peace. He affirmed Qatar's commitment to mediation efforts with Egypt and the U.S. The assault, resulting in civilian casualt…",2025-09-15T03:36:57Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/israeli-attack-grave-escalation-qatari-pm/articleshow/123891241.cms,,
A Houthi drone strikes an Israeli airport in a rare hit as Israel steps up Gaza City attacks,"Yemen's Houthi rebels escalated attacks on Israel, striking Ramon Airport and prompting flight diversions after Israeli strikes killed a Houthi leader. Meanwhile, Israel intensified its Gaza offensive, leveling another high-rise and urging evacuations, even a…",2025-09-08T03:00:48Z,The Times of India,https://economictimes.indiatimes.com/news/defence/a-houthi-drone-strikes-an-israeli-airport-in-a-rare-hit-as-israel-steps-up-gaza-city-attacks/articleshow/123756133.cms,,
Get AI-certified by IITM Pravartak and IBM: Learn skills that employers want,Spotlight News: IITM Pravartak is the technology innovation hub of IIT Madras.,2025-09-08T10:02:16Z,The Times of India,https://timesofindia.indiatimes.com/spotlight/harness-the-future-of-technology-with-ai-and-ml-mastery-from-this-programme-by-iitm-pravartak/articleshow/118107365.cms,,
"Australia Unites protests complains of cost of living, and Indigenous groups protest over racism on Saturday: police warn of violence between rival groups at nationwide rallies","Australian police prepare for potential violence as Australia Unites protesters and Indigenous activist groups plan separate rallies Saturday, September 13. Victoria police deploy extra officers following previous clashes between far-right and far-left demons…",2025-09-13T03:30:59Z,The Times of India,https://economictimes.indiatimes.com/news/international/australia/australia-unites-protests-complains-of-cost-of-living-and-indigenous-groups-protest-over-racism-on-saturday-police-warn-of-violence-between-rival-groups-at-nationwide-rallies/articleshow/123862821.cms,,
Three dead as Russia launches large-scale attack on Ukraine,"Europe News: KYIV: Russia launched a large-scale missile and drone attack targeting regions across Ukraine on early Saturday, killing at least three people and wou.",2025-09-20T19:51:46Z,The Times of India,https://timesofindia.indiatimes.com/world/europe/three-dead-as-russia-launches-large-scale-attack-on-ukraine/articleshow/124020887.cms,,
"Social media users comments on Charlie Kirk death will shock you and touch your heart. Check out most moving posts, viral gun violence comments video, tributes","Social media users comments on Charlie Kirk death will shock you and touch your heart. Tributes, old family videos, and reactions from Donald Trump and others surfaced after the Utah Valley University shooting.",2025-09-11T00:57:53Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/social-media-users-comments-on-charlie-kirk-death-will-shock-you-and-touch-your-heart-tributes-reactions-conservative-activist-shot-utah-valley-university-emotional-family-videos-death-grief-debate-gun-laws-condolences-donald-trump/articleshow/123819393.cms,,
"Army must rebuild ties with Gujjar, Bakerwal tribes to prevent intelligence gap on ground, say experts",A shift in terror tactics towards higher ridges in Jammu and Kashmir necessitates a review of security strategies and a restoration of trust with the Gujjar and Bakerwal communities. Incidents like the Kathua rape case and the Topa Pir killings have eroded th…,2025-09-21T06:48:10Z,The Times of India,https://economictimes.indiatimes.com/news/defence/army-must-rebuild-ties-with-gujjar-bakerwal-tribes-to-prevent-intelligence-gap-on-ground-say-experts/articleshow/124025034.cms,,
